"fila_excel","codigo","grupo_atq","subgrupo_atq","correlativo","medicamento","forma_farmaceutica","concentracion","clasificacion_atq","uso_restringido","precio_referencial","aclaracion_particularidades","es_valido","motivo_invalidacion"
"4","J0501","J","5","1","Abacavir","Comprimido","300 mg","J05AF06","","2.89","","True",""
"5","J0550","J","5","50","Abacavir sulfato + Lamivudina","Comprimido dispersable","120 mg + 60 mg","J05AR02","R","0.63","","True",""
"6","L0209","L","2","9","Abiraterona Acetato","Comprimido","250 mg","L02BX03","R","83.62","","True",""
"7","A0601","A","6","1","Aceite mineral","Emulsión oral","0.4","A06AG06","","38.644189765458421","100 ml","True",""
"8","A1101","A","11","1","Aceite vitaminado (alimento)","Emulsión oral","Según disponibilidad","A11CB**","","10.453636363636363","1 L","True",""
"9","C0301","C","3","1","Acetazolamida","Comprimido","250 mg","C03**","","1.8945933473433005","","True",""
"10","V0301","V","3","1","Acetil Cisteina","Inyectable","0.1","V03AB23","","13.39","3 ml","True",""
"11","D0603","D","6","3","Aciclovir","Crema dérmica","0.05","D06BB03","","20.8","5 g","True",""
"12","J0504","J","5","4","Aciclovir","Comprimido","400 mg","J05AB01","","2.6112723696583804","","True",""
"13","J0530","J","5","30","Aciclovir","Suspensión","200 mg/5 ml","J05AB01","","79.47900927745988","100 ml","True",""
"14","J0542","J","5","42","Aciclovir","Comprimido","200 mg","J05AB01","","2.5099999999999998","","True",""
"15","J0543","J","5","43","Aciclovir","Comprimido","800 mg","J05AB01","","8.2133333333333329","","True",""
"16","J0544","J","5","44","Aciclovir","Inyectable","250 mg","J05AB01","","47.5","","True",""
"17","J0545","J","5","45","Aciclovir","Inyectable","500 mg","J05AB01","","74.38","","True",""
"18","S0101","S","1","1","Aciclovir","Crema o Pomada oftálmica","0.03","S01AD03","","31.783055555555553","5 g","True",""
"19","G0101","G","1","1","Ácido acético (Ácido tricloroacético)","Solución tópica","0.5","G01AD02","","74.06","5 ml","True",""
"20","B0101","B","1","1","Ácido acetil salicílico","Comprimido","100 mg","B01AC06","","0.39618355985401865","","True",""
"21","N0201","N","2","1","Ácido acetil salicílico","Comprimido","500 mg","N02BA01","","0.32","","True",""
"22","M0503","M","5","3","Ácido Alendrónico (Alendronato)","Comprimido","70 mg","M05BA04","","6.65","","True",""
"23","B0201","B","2","1","Ácido aminocapróico","Inyectable","2g /10 ml","B02AA01","","60.32","10 ml","True",""
"24","A1102","A","11","2","Ácido Ascorbico (Vitamina C)","Inyectable","500 mg/ml (2 ml)","A11GA01","","3.06","1 ml","True",""
"25","A1103","A","11","3","Ácido Ascórbico (Vitamina C)","Solución oral gotas","Según disponibilidad","A11GA01","","16.115000000000002","30 ml","True",""
"26","V0317","V","3","17","Ácido dimercaptosuccinico","Capsula","100 mg","V03AX","R","84.45","","True",""
"27","V0318","V","3","18","Ácido dimercaptosuccinico","Capsula","200 mg","V03AX","R","168.9","","True",""
"28","B0301","B","3","1","Ácido fólico","Comprimido","5 mg","B03BB01","","0.5","","True",""
"29","B0310","B","3","10","Ácido Fólico","Comprimido","800 mcg","B03BB01","","0.64","","True",""
"30","V0812","V","8","12","Ácido Gadotérico","Inyectable","0.5 mmol/ml","V08CA02","","557.35","15 ml","True",""
"31","J0101","J","1","1","Ácido nalidíxico","Comprimido","500 mg","J01MB02","","2.31","","True",""
"32","J0102","J","1","2","Ácido nalidíxico","Suspensión","250 mg/5 ml","J01MB02","","41.844999999999999","120 ml","True",""
"33","J0103","J","1","3","Ácido nalidíxico","Suspensión","125 mg/5 ml","J01MB02","","20","120 ml","True",""
"34","J0411","J","4","11","Acido p-aminosalicilico","Polvo para solución oral","4 g","J04AA01","","14.33","","True",""
"35","D0101","D","1","1","Ácido salicílico","Solución tópica","0.05","D01AE12","","27.1","","True",""
"36","B0206","B","2","6","Ácido Tranexámico","Inyectable","500 mg","B02AA02","R","26.574285714285715","","True",""
"37","B0207","B","2","7","Ácido Tranexámico","Comprimido","500 mg","B02AA02","","10","","True",""
"38","A0501","A","5","1","Ácido Ursodeoxicólico","Cápsula","250 mg","A05AA02","","9.27","","True",""
"39","N0301","N","3","1","Ácido Valpróico ó Valproato sódico","Jarabe o Solución oral","200 mg/5 ml","N03AG01","","103.42800796812749","40 ml","True",""
"40","N0302","N","3","2","Ácido Valpróico ó Valproato sódico","Jarabe o Solución oral","250 mg/5 ml","N03AG01","","164.25","100 ml","True",""
"41","N0303","N","3","3","Ácido Valpróico ó Valproato sódico","Cápsula o Comprimido","500 mg","N03AG01","","10.16","","True",""
"42","N0322","N","3","22","Ácido Valpróico ó Valproato sódico","Jarabe o Solución Oral","200 mg/ml","N03AG01","","148.94","40 ml","True",""
"43","M0504","M","5","4","Ácido Zoledrónico","Inyectable","4 mg","M05BA08","R","555.93847583643128","","True",""
"44","C0101","C","1","1","Adenosina","Inyectable","6 mg/2 ml","C01EB10","","85.39","","True",""
"45","B0512","B","5","12","Agentes con gelatina","Solución parenteral de gran volúmen","Según disponibilidad","B05AA06","","294.48500000000001","500 ml","True",""
"46","B0501","B","5","1","Agua para inyección","Inyectable","5 ml","B05X**","","1","","True",""
"47","P0201","P","2","1","Albendazol","Comprimido","200 mg","P02CA03","","1.21","","True",""
"48","P0202","P","2","2","Albendazol","Suspensión","200 mg/5 ml","P02CA03","","11.25","10 ml","True",""
"49","B0502","B","5","2","Albúmina humana","Inyectable","0.2","B05AA01","","756","","True",""
"50","D0801","D","8","1","Alcohol etílico (Etanol)","Solución 1 l","70% a 95%","D08AX08","","41.204999999999998","1 L","True",""
"51","V0602","V","6","2","Alimentos Terapéutico Listo para Uso (ATLU)","Polvo, pasta o Granulado según disponibilidad","Según concentración estándar","V06DB**","","9.7200000000000006","","True",""
